yildiz,Kategori,oyuncular,yonetmen
7.2,Aksiyon ,"Ana Serradilla, Bradley Gregg, Michael Madsen, William Baldwin",Guillermo Iván
8.4,Komedi ,"Debby Ryan, Katie Cassidy, Matthew Lillard, Tate Donovan",Devin Adair
8.8,Dram ,"Charles Jarman, Jonathan Keltz, Kayla Wallace, Megan Park",Alex Wright
7.6,Komedi ,"Daniel de Weldon, Heidi Harian, Rebekah Lynn Dow, Vincent Lee Alston",Antonio Pantoja
8.6,Komedi ,"Ben Affleck, Chris Hemsworth, Matt Damon, Melissa Benoist",Kevin Smith
6.8,Komedi ,"Emily Booth, Ewen MacIntosh, Lauren Socha, Spencer Brown",Drew Cullingham
7.5,Gerilim ,"Anne Winters, Nicolas Cage, Selma Blair, Zackary Arthur",Brian Taylor
7.3,Aksiyon ,"Cindy of Samoa, Ronnie Taulafo, Tofiga Fepulea'i, Vito Vito",Stallone Vaiaoga-Ioasa
7.9,Dram ,"Claes Bang, Dominic West, Elisabeth Moss, Terry Notary",Ruben Östlund
9.5,Aile ,"Ludacris, Natasha Lyonne, Stanley Tucci, Will Arnett",Raja Gosnell
7.2,Komedi ,"Jamie Cymbal, Jo Mousley, Pushpinder Chani, Sid Akbar Ali",David Gilbank
8.9,Aile ,"Anais L. Blake, Brielle Carter, Christian Cashmir, Quinton Aaron",Christian Cashmir
7.9,Bilim Kurgu ,"Anne Hathaway, Austin Stowell, Jason Sudeikis, Tim Blake Nelson",Nacho Vigalondo
7.4,Aile ,"Anjelah Johnson-Reyes, Brett Dalton, D.B. Sweeney, Neil Flynn",Dallas Jenkins
8.4,Dram ,"Bojesse Christopher, Corbin Bernsen, Garrett Clayton, Joey Bragg",Leif Rokesh
9.5,Komedi ,"Brady Noon, Jacob Tremblay, Keith L. Williams, Molly Gordon",Gene Stupnitsky
8.5,Dram ,"Emile Hirsch, Jack Kesy, Jacob Vargas, Shiloh Fernandez",Rafael Monserrate
7.5,Dram ,"Daniela Mora, Harvey Monestel, Janko Navarro, William Quirós",Ernesto Villalobos
7.9,Aile ,"Kj Schrock, Sarah Taylor, Tina Shuster",Alex Sebastian
8.7,Dram ,"Brad Pitt, Emile Hirsch, Leonardo DiCaprio, Margot Robbie",Quentin Tarantino
7.1,Dram ,"Caren Pistorius, John Turturro, Julianne Moore, Michael Cera",Sebastián Lelio
7.6,Dram ,"Abra, Hari Nef, Odessa Young, Suki Waterhouse",Sam Levinson
8.0,Komedi ,"Claudine-Helene Aumord, Georgia Wood, Tara MacGowran, Tiffany-Ellen Robinson",Dan Allen
9.2,Komedi ,"Kevin Hart, Rob Riggle, Romany Malco, Tiffany Haddish",Malcolm D. Lee
8.8,Dram ,"Alison McGirr, Angourie Rice, Julia Ormond, Rachael Taylor",Bruce Beresford
9.4,Dram ,"Alexia Giordano, Guillaume de Tonquédec, Mehdi Kerkouche, Rayane Bensetti",Ladislas Chollat
7.4,Dram ,"Hana Hayes, Mateus Ward, Rio Mangini, Tyler DiChiara",Justin Ward
8.8,Komedi ,"Amarr M. Wooten, Darlene Love, Romany Malco, Sonequa Martin-Green",Leslie Small
8.3,Komedi ,"Alexandra Daddario, Kimiko Glenn, Laverne Cox, Tyler Hoechlin",Elise Duran
8.4,Dram ,"Adam Driver, Azhy Robertson, Julia Greer, Scarlett Johansson",Noah Baumbach
8.4,Aile ,"Francesca Hayward, Idris Elba, Laurie Davidson, Taylor Swift",Tom Hooper
9.0,Dram ,"Adriana Ugarte, Daniel Auteuil, Gérard Depardieu, Sandrine Kiberlain",Daniel Auteuil
7.3,Dram ,"Géza Röhrig, Matthew Broderick, Sammy Voit, Sarah Jes Austell",Shawn Snyder
8.8,Dram ,"Billy Barratt, Lee Barnett, Ronak Singh Chadha Berges, Viveik Kalra",Gurinder Chadha
9.4,Dram ,"Barkhad Abdi, Bérénice Bejo, Dhanush, Erin Moriarty",Ken Scott
8.5,Fantastik ,"Brant Daugherty, Kimberly Daugherty, Lana McKissack, Ryan Merriman",Brian Herzlinger
6.8,Gerilim ,"Alexander Davis, Jake Roark, Jeremy Snead, Tyler Caldwell",Matthew Williams
9.2,Aile ,"Daniel Stern, Joe Pesci, John Heard, Macaulay Culkin",Chris Columbus
9.5,Aile ,"Darby Camp, Judah Lewis, Kurt Russell, Oliver Hudson",Clay Kaytis
8.6,Dram ,"Billy Bob Thornton, Christina Hendricks, Kathy Bates, Tony Cox",Mark Waters
6.6,Dram ,"Ashley Lenz, Clare McNulty, Hugo de Sousa, Sandra Cóias",Robert G. Putka
7.3,Aksiyon ,"Jai Rodriguez, Jose Rosete, Kevin Sizemore, Tara Macken",Jared Bentley
7.0,Bilim Kurgu ,"Alexandre Chen, David Gallegos, Scott Dunn, Sean McBride",Scott Dunn
8.1,Komedi ,"Claire Holt, Katrina Bowden, Mark Famiglietti, Matilda Anna Ingrid Lutz",Hughes William Thompson
8.0,Gerilim ,"Angela Kinsey, Colin Ford, Darlene Vogel, Patrick Fabian",Jay Lowi
8.0,Dram ,"Andy Garcia, Dafne Keen, Jeanne Tripplehorn, Luna Lauren Velez",Charles McDougall
9.4,Aile ,"Kevin Sorbo, Logan Allen, Patrick Muldoon, Tommi Rose",Kirk Harris
9.0,Komedi ,"Billy Porter, Rose Byrne, Salma Hayek, Tiffany Haddish",Miguel Arteta
6.5,Dram ,"Louise Chevillotte, Quentin Dolmaire, Tom Mercier, Uria Hayik",Nadav Lapid
9.6,Dram ,"Athenea Mata, Javier Gutiérrez, José de Luna, Juan Margallo",Javier Fesser
8.3,Dram ,"Caitlin Aase, Melissa DuPrey, Sarah Mitchell, Travis Delgado",Laura Madalinski
8.4,Komedi ,"Harris Yulin, Tara Summers, Tate Ellington, Victoria Clark",Josh Klausner
8.3,Bilim Kurgu ,"Anna Rizzo, Derek K. Moore, Jesse Rosen, Sean Carmichael",Rob Schulbaum
8.3,Dram ,"Ana Girardot, Camille Cottin, François Berléand, François Civil",Cédric Klapisch
7.1,Aksiyon ,"Art Hsu, Jason Trost, Mike O'Gorman, Nick Principe",Jason Trost
9.0,Komedi ,"Biyouna, Diem Nguyen, Luis Guzmán, Omar Sy",Rachid Bouchareb
9.4,Komedi ,"Chelsey Reist, Chris Klein, Jon Lovitz, Lochlyn Munro",Jonathan A. Rosenbaum
7.5,Dram ,"Jesse Bradford, Jordan Danger, Noah Segan, Ursula Mills",Ned Ehrbar
9.0,Komedi ,"Ben Lloyd-Hughes, Katie Brayben, Poppy Roe, Sarah Ball",Staten Cousins Roe
6.9,Komedi ,"Bartlett Benjamin, Bryan Slusher, Cody Calderas, Daisy Coleman",Robbie Lopez
7.9,Dram ,"François Cluzet, Gilles Lellouche, Laurent Lafitte, Marion Cotillard",Guillaume Canet
9.6,Aile ,"Brianna Hildebrand, John Cena, John Leguizamo, Keegan-Michael Key",Andy Fickman
8.3,Dram ,"Brodie Reed, Charlotte Newhouse, Jay Mohr, Mary Elizabeth Winstead",Eva Vives
9.4,Komedi ,"André Luiz Frambach, Edu D'Azevedo, Erasmo Carlos, Larissa Manoela",César Rodrigues
8.1,Gerilim ,"Alyson Hannigan, Brittany S. Hall, Fran Kranz, Jenna Harvey",Brett Simmons
7.3,Dram ,"Cameron Duckett, Jesse Pudles, Nicole Dambro, Peter Mayer-Klepchick",Anderson Cowan
9.9,Aile ,"Honoka Matsumoto, Kentarô Itô, Rina Kawaei, Ryôta Katayose",Masaaki Yuasa
7.3,Komedi ,"Corinne Mestemacher, Olivia Luccardi, Sarah Moliski, Stephanie Simbari",Brent Craft
9.5,Aile ,"Carolin Kebekus, Dustin Semmelrogge, Max von der Groeben",Anthony Power
8.9,Komedi ,"Christal Renee, Denis Ark, Lilly Lumière, Louis Rocky Bacigalupo",Ramsey Attia
7.8,Dram ,"Alia Shawkat, Dermot Murphy, Fra Fee, Holliday Grainger",Sophie Hyde
9.3,Biyografi ,"Assad Ahmed, Gérard Depardieu, Isabelle Nanty, Mizanur Rahaman",Pierre-François Martin-Laval
8.7,Aksiyon ,"Brian Hooks, Brock Johnsen, E-40, Mike Epps",D-Shot
8.6,Aksiyon ,"Angélica Celaya, Denis O'Hare, James Jurdi, Tom Everett Scott",Tom Oesch
8.4,Aksiyon ,"Hailee Steinfeld, Jason Drucker, John Cena, Jorge Lendeborg Jr.",Travis Knight
8.7,Komedi ,"Andrew Murton, Michael Bettell, Naomi Morris, Philip Jackson",Leon Chambers
6.0,Komedi ,"Amber Goldfarb, Eli Batalion, Kenneth Fernandez, Varun Saranga",Eli Batalion
8.3,Komedi ,"Charlotte Atkinson, Elsie Bennett, Lorna Brown, Mark Chatterton",James Edward Cook
7.3,Aksiyon ,"Faran Tahir, Molly Hagan, Pete Gardner, T.J. Storm",David Kronmiller
8.0,Dram ,"Dasha Nekrasova, Elisha Drons, Nick Corirossi, Paige Elkington",Eugene Kotlyarenko
8.7,Aksiyon ,"Jin-Hee Jang, Jun-seok Heo, Lee Hanee, Myeong Gong",Byeong-heon Lee
9.1,Komedi ,"Darcy Rose Byrnes, Dennis Mojen, Lisa Vicari, Pegah Ferydoni",Oliver Kienle
6.0,Komedi ,"Camille Cottin, Jean-Pierre Bacri, Pierre Deladonchamps, Vanessa Paradis",Cécilia Rouaud
7.5,Gerilim ,"Ed Begley Jr., Marilu Henner, Virginia Kull, Zach McGowan",David Singer
7.3,Komedi ,"Allison Tolman, Brian Tyree Henry, Kate McKinnon, Taylor Schilling",Laura Steinel
9.6,Aile ,"Craig T. Nelson, Holly Hunter, Huck Milner, Sarah Vowell",Brad Bird
7.5,Fantastik ,"Alyssa Kempinski, Aurelio Voltaire, Claire Hsu, Greg Cohan",Brendan Steere
9.7,Aile ,"David Kelly, Freddie Highmore, Helena Bonham Carter, Johnny Depp",Tim Burton
9.2,Dram ,"Benedict Hardie, Damon Herriman, Kiruna Stamell, Mia Wasikowska",Mirrah Foulkes
9.2,Komedi ,"Camille Lellouche, Franck Gastambide, Gringe, Melisa Sözen",Xavier de Choudens
9.0,Biyografi ,"Falk Hentschel, Matt O'Leary, Nikolai Witschl, Steve Carell",Robert Zemeckis
9.0,Komedi ,"Fortune Feimster, Megan Park, Mickey Gooch Jr., Whitmer Thomas",Tyler Spindel
7.8,Komedi ,"Bill Sorvino, Joseph D'Onofrio, Tracey Birdsall, Vincent Pastore",Thomas Baldinger
7.4,Komedi ,"Aaron Burt, Carly Reeves, David Lengel, Emily Pearse",Tyler Cole
9.7,Aile ,"Adam Pally, James Marsden, Jim Carrey, Neal McDonough, Tika Sumpter",Jeff Fowler
9.3,Komedi ,"Caitlyn de Abrue, Jack Fokkens, Lincoln Pearson, Megan du Plessis",Vince Marcello
8.0,Fantastik ,"Bill Hutchens, Brutius Selby, Johanna Thea, Josephine Scandi",Federico Scargiali
6.3,Komedi ,"Alice Tate, Ashley Wisdom, Kayden Kross, Rachel Alig",Glenn Danzig
8.9,Aile ,"David Walliams, Hugh Jackman, Matt Lucas, Stephen Fry",Chris Butler
9.0,Dram ,"Alex Lutz, Nicole Calfan, Pascale Arbillot, Tom Dingler",Alex Lutz
9.6,Dram ,"Boris Isakovic, Emma Thompson, Lucy Miller, Madison Ingoldsby",Paul Feig
9.4,Aile ,"Bonnie Hunt, Jonathan Hyde, Kirsten Dunst, Robin Williams",Joe Johnston
9.4,Aksiyon ,"Dwayne Johnson, Jack Black, Karen Gillan, Kevin Hart",Jake Kasdan
9.6,Animasyon ,"Brittany Curran, Dermot Mulroney, Jason Kesser, Nick Guerra",Gary Wang
8.5,Aksiyon ,"Martin Freeman, Nick Frost, Rosamund Pike, Simon Pegg",Edgar Wright
9.1,Aile ,"Danny Trejo, Hal Linden, Reno Wilson, Roxana Ortega",Ron Oliver
9.4,Aksiyon ,"Elizabeth Banks, Ella Balinska, Kristen Stewart, Naomi Scott",Elizabeth Banks
8.7,Komedi ,"Chantal Lauby, Hakim Jemili, Michel Blanc, Solène Rigot",Tristan Séguéla
8.8,Aksiyon ,"Domhnall Gleeson, Jesse Plemons, Sarah Wright, Tom Cruise",Doug Liman
8.9,Komedi ,"Jake Lacy, Martin Freeman, Melissa Rauch, Morena Baccarin",Jason Winer
7.8,Dram ,"Anya Taylor-Joy, Bill Nighy, Johnny Flynn, Mia Goth",Autumn de Wilde
9.5,Aile ,"Chris Pratt, Julia Louis-Dreyfus, Octavia Spencer, Tom Holland",Dan Scanlon
9.3,Dram ,"Giancarlo Esposito, Grace VanderWaal, Graham Verchere, Maximiliano Hernández",Julia Hart
9.6,Aksiyon ,"Josh Brolin, Julian Dennison, Morena Baccarin, Ryan Reynolds",David Leitch
9.1,Aksiyon ,"Chris Hemsworth, Kumail Nanjiani, Rebecca Ferguson, Tessa Thompson",F. Gary Gray
9.6,Aksiyon ,"Cate Blanchett, Chris Hemsworth, Mark Ruffalo, Tom Hiddleston",Taika Waititi
9.1,Aile ,"Caleel Harris, Jeremy Ray Taylor, Madison Iseman, Wendi McLendon-Covey",Ari Sandel
9.6,Aile ,"John Cena, John Leguizamo, Keegan-Michael Key, Tyler Mane",Andy Fickman
7.3,Aksiyon ,"Jamie Nelson, Mark Robokoff, Shane Mitchell, Wayne Mitchell",G. Logan Dellinger
7.3,Gerilim ,"Eugene Simon, Gretchen Egolf, Martyn Ford, Simone Ashley",Erwan Marinopoulos
6.7,Dram ,"Brian Cox, Cian Boylan, Niamh Algar, Samuel Bottomley",Aoife Crehan
9.6,Aksiyon ,"Betty Gilpin, RonReaco Lee, Taraji P. Henson, Terrence Little Gardenhigh",Michael Dowse
9.6,Aksiyon ,"Chris Pratt, Dave Bautista, Vin Diesel, Zoe Saldana",James Gunn
8.7,Komedi ,"Brian Quinn, James Murray, Joe Gatto, Sal Vulcano",Chris Henchy
7.8,Komedi ,"Agustí Villaronga, Catrinel Marlon, Rodica Lazar, Vlad Ivanov",Corneliu Porumboiu
7.8,Bilim Kurgu ,"Danielle Ryan, Imogen Poots, Jesse Eisenberg, Molly McCann",Lorcan Finnegan
7.5,Aile ,"Ella Ballentine, Julia Lalonde, Martin Sheen, Sara Botsford",John Kent Harrison
8.1,Dram ,"Kimmy Caruso, Reece Everett Ryan, Riker Lynch, Troy Osterberg",R. Scott Leisk
8.4,Komedi ,"Dalton Green, Gary Bisignani, Holly Barnes, Nigel Bach",Nigel Bach
7.7,Dram ,"Enrique Arce, Eric da Silva, Francisco Menezes, Luis Ismael",Luis Ismael
9.2,Aile ,"Chloe Coleman, Dave Bautista, Kristen Schaal, Parisa Fitz-Henley",Peter Segal
9.2,Gerilim ,"Erika Christensen, Jon Abrahams, Mark Webber, Nicole Elizabeth Berger",Jon Abrahams
8.9,Komedi ,"Adrián Lastra, Alexandra Jiménez, Jordi Sánchez, Álex García",Álvaro Fernández Armero
8.2,Bilim Kurgu ,"Cleopatra Coleman, Daniel Stern, Frances Conroy, Jonas Chernick",Jeremy LaLonde
7.3,Komedi ,"Chris Romano, Darin Brooks, David Wall, David Wysocki",David Wall
8.5,Aksiyon ,"David Bourne, Louis Rocky Bacigalupo, Nathaniel Ansbach, Roland Brown",Sam Garcia Southern
8.1,Komedi ,"Eleanor Tomlinson, Freida Pinto, Olivia Munn, Sam Claflin",Dean Craig
9.1,Aile ,"Adam Pally, Ken Marino, Seth Carr, Tichina Arnold",Jay Karas
9.0,Aile ,"Aylin Tezel, Christoph Maria Herbst, Meret Becker, Peri Baumeister",Joachim Masannek
9.8,Dram ,"Neeraj Kabi, Rani Mukerji, Rohit Saraf, Sachin Pilgaonkar",Siddharth Malhotra
9.2,Gizem ,"Charlotte McKinney, Evan Evagora, Lucy Hale, Maggie Q",Jeff Wadlow
7.7,Komedi ,"Angelique Rivera, Jake Cannavale, Jim Titus, Sarah Yarkin",Rodman Flender
8.3,Aksiyon ,"Chloe Clark, Donny Boaz, Jason Gerhardt, Kelly Patton",Danny Carrales
7.9,Aile ,"Grant Durazzo, Jayden Isabel, Kellen Goff, Nina Herzog",Richard Rich
8.7,Dram ,"David Kross, Dejan Bucin, Emily Goss, Frederick Lau",Cüneyt Kaya
7.6,Komedi ,"Cody Renee Cameron, Robin Sydney, Russell Coker",Charles Band
7.1,Gerilim ,"Dan Harmon, Matt Jones, Rhea Seehorn, Taika Waititi",Vivieno Caldinelli
6.5,Komedi ,"Alicia Silverstone, Anna Pniowsky, Michaela Watkins, Rob Corddry",William Teitler
7.1,Bilim Kurgu ,"Angela Jones, Kristina Clifford, Tyler Cornack, Tyler Rice",Tyler Cornack
8.4,Komedi ,"Béla Mészáros, Juli Básti, Máté Mészáros, Réka Tenki",Dénes Orosz
7.2,Komedi ,"Anto Boros, Chris Roberti, David Bly, Tonya Glanz",Chris Roberti
9.3,Dram ,"Ana de Armas, Chris Evans, Daniel Craig, Jamie Lee Curtis",Rian Johnson
9.6,Aksiyon ,"Ed Skrein, Morena Baccarin, Ryan Reynolds, T.J. Miller",Tim Miller
9.5,Aile ,"Annie Potts, Tim Allen, Tom Hanks, Tony Hale",Josh Cooley
9.5,Aile ,"Chris Cooper, Cristela Alonzo, Nathan Fillion, Owen Wilson",Brian Fee
8.6,Fantastik ,"Anthony Mackie, Jillian Bell, Joseph Gordon-Levitt, Seth Rogen",Jonathan Levine
8.8,Aksiyon ,"Anthony Mackie, Dwayne Johnson, Mark Wahlberg, Tony Shalhoub",Michael Bay
8.8,Dram ,"Dakota Johnson, Damon Wayans Jr., Leslie Mann, Rebel Wilson",Christian Ditter
9.2,Aile ,"José Corbacho, José Mota, Michelle Jenner, Óscar Barberán",Enrique Gato
8.8,Aksiyon ,"Demián Bichir, Marlon Wayans, Melissa McCarthy, Sandra Bullock",Paul Feig
9.0,Dram ,"Constance Wu, Gemma Chan, Henry Golding, Michelle Yeoh",Jon M. Chu
9.3,Komedi ,"Alan Arkin, Ann-Margret, Matt Dillon, Michael Caine",Zach Braff
8.5,Komedi ,"Amy Poehler, Jason Mantzoukas, Ryan Simpkins, Will Ferrell",Andrew Jay Cohen
9.3,Aksiyon ,"Du-shim Ko, In-hwan Park, Jung-suk Jo, Yoon-ah Im",Sang Geun Lee
9.5,Aksiyon ,"Dwayne Johnson, Jack Black, Karen Gillan, Madison Iseman, Marin Hinkle",Jake Kasdan
8.1,Dram ,"Angeline Appel, Emilie Ullerup, Eric Roberts, Felissa Rose",Jeff Hare
9.3,Komedi ,"Adam Sandler, Chris Rock, David Spade, Kevin James",Dennis Dugan
9.0,Aile ,"Dax Shepard, Jonah Bobo, Josh Hutcherson, Kristen Stewart",Jon Favreau
8.7,Aile ,"André Sogliuzzo, Maddie Taylor, Matthew J. Munn, Nika Futterman",Cody Cameron
8.6,Komedi ,"Andy Nyman, Ewen Bremner, Keeley Hawes, Matthew Macfadyen",Frank Oz
8.0,Komedi ,"Adam Sandler, Emmanuelle Chriqui, John Turturro, Nick Swardson",Dennis Dugan
8.4,Aile ,"J.K. Simmons, Julian Atocani Sanchez, Keanu Wilson, Noel Gugliemi",Cameron Nugent
8.7,Aile ,"Jessica Alba, Joel McHale, Mason Cook, Rowan Blanchard",Robert Rodriguez
7.4,Dram ,"Buckner Hinkle, Christopher Coakley, Julia St. Pierre, Sarah Rosengarten",Alex R. Wagner
8.2,Aksiyon ,"Aaron Taylor-Johnson, Deborah Twiss, Evan Peters, Garrett M. Brown",Matthew Vaughn
8.3,Dram ,"Bradley Whitford, Emily Mortimer, Greg Kinnear, Jay Duplass",Greg Kinnear
9.2,Komedi ,"Emma Roberts, Jason Sudeikis, Jennifer Aniston, Will Poulter",Rawson Marshall Thurber
8.5,Komedi ,"Benjamin Biolay, Chiara Mastroianni, Kolia Abiteboul, Vincent Lacoste",Christophe Honoré
7.7,Dram ,"Allisyn Snyder, Dave Davis, Michael Papajohn, Ross Britz",Misty Talley
8.0,Blu Ray ,"Cynthia Nixon, Kim Cattrall, Kristin Davis, Sarah Jessica Parker",Michael Patrick King
7.0,Komedi ,"Amanda Melby, Cathy Shim, Rene Auberjonois, Terence Bernie Hines",Bruce Dellis
7.2,Aksiyon ,"João Vilas, Maria Leite, Mário Oliveira, Pedro Barão Dias",Fernando Alle
9.3,Aile ,"Frank Welker, Grey Griffin, Matthew Lillard, Mindy Cohn",Ethan Spaulding
9.4,Aile ,"Casey Kasem, Frank Welker, Grey Griffin, Mindy Cohn",Christopher Berkeley
9.7,Aksiyon ,"Jackie Chan, Ken Leung, Tom Wilkinson, Tzi Ma",Brett Ratner
9.7,Aksiyon ,"Chris Tucker, Jackie Chan, John Lone, Ziyi Zhang",Brett Ratner
7.5,Dram ,"David Mitchell, Isla Fisher, Shirley Henderson, Steve Coogan",Michael Winterbottom
8.7,Komedi ,"David Spade, Geoff Pierson, Lauren Lapkus, Nick Swardson",Tyler Spindel
9.0,Bilim Kurgu ,"Jeff Bridges, Kevin Bacon, Mary-Louise Parker, Ryan Reynolds",Robert Schwentke
9.5,Aile ,"Antonio Banderas, Jim Broadbent, Michael Sheen, Robert Downey Jr.",Stephen Gaghan
8.5,Komedi ,"Andrew Bowen, Gia Mantegna, Grant Harvey, Michael Milford",Brandon Willer
8.4,Fantastik ,"Jason Bateman, Leslie Mann, Olivia Wilde, Ryan Reynolds",David Dobkin
8.1,Komedi ,"Elle Fanning, Liev Schreiber, Suzanne Smith, Timothée Chalamet",Woody Allen
9.5,Aile ,"Alec Baldwin, Chris Pine, Hugh Jackman, Isla Fisher",Peter Ramsey
9.1,Aile ,"Bryce Dallas Howard, Oakes Fegley, Oona Laurence, Robert Redford",David Lowery
9.3,Dram ,"Chelsea Lopez, Jordan Trovillion, Judith Scott, Shaw Jones",Gabriela Ledesma
7.7,Komedi ,"Alex Lawther, Denis Ménochet, Jonah Hauer-King, Pauline Etienne",Toby MacDonald
9.0,Bilim Kurgu ,"Alistair Moulton Black, Jay Anstey, Michael Gross, Paul du Toit",Don Michael Paul
7.1,Komedi ,"Blake Crawford, Kiichi Nakai, Kogan Ashiya, Kuranosuke Sasaki",Masaharu Take
9.3,Biyografi ,"Craig Robinson, Eddie Murphy, Keegan-Michael Key, Mike Epps",Craig Brewer
9.0,Dram ,"Aaron Eckhart, Abigail Breslin, Catherine Zeta-Jones, Patricia Clarkson",Scott Hicks
9.3,Aksiyon ,"Jessie T. Usher, Regina Hall, Richard Roundtree, Samuel L. Jackson",Tim Story
7.8,Dram ,"Danny Huston, Johnny Depp, Odessa Young, Rosemarie DeWitt",Wayne Roberts
8.9,Dram ,"Jennifer Lopez, Leah Remini, Treat Williams, Vanessa Hudgens",Peter Segal
8.5,Aksiyon ,"Guansen Sheng, Simon Yam, Talu Wang, Tian'Ai Zhang",Lei Yang
8.8,Komedi ,"Andie MacDowell, Chevy Chase, Kate Micucci, Richard Dreyfuss",Greg Pritikin
7.6,Aksiyon ,"Aneurin Barnard, Freya Mavor, Marion Bailey, Tom Wilkinson",Tom Edmunds
6.8,Komedi ,"Isabelle Adjani, Karim Leklou, Oulaya Amamra, Vincent Cassel",Romain Gavras
8.9,Aksiyon ,"Adam West, Burt Ward, Julie Newmar, William Shatner",Rick Morales
9.0,Aile ,"Greg Cipes, John DiMaggio, Romi Dames, Yvette Nicole Brown",Todd Grimes
8.5,Dram ,"Andrew Rannells, Anna Kendrick, Blake Lively, Henry Golding",Paul Feig
8.7,Aksiyon ,"Gabriel LaBelle, Lauren Holly, Lizzie Boys, Matthew Nelson-Mahood",Peter Ricq
9.2,Aile ,"Caleel Harris, Jeremy Ray Taylor, Madison Iseman, Wendi McLendon-Covey",Ari Sandel
9.5,Dram ,"Candice Bergen, Diane Keaton, Jane Fonda, Mary Steenburgen",Bill Holderman
7.5,Aksiyon ,"Bruce Willis, Emily Robinson, Jason Momoa, John Goodman",Mark Cullen
8.7,Bilim Kurgu ,"Cate Blanchett, Jack Black, Kyle MacLachlan, Owen Vaccaro",Eli Roth
8.6,Aile ,"Adrián Suar, Federico D'Elía, Julieta Díaz, Peto Menahem",Marcos Carnevale
6.8,Dram ,"Andrew Garfield, Callie Hernandez, Riley Keough, Topher Grace",David Robert Mitchell
9.5,Komedi ,"André Dussollier, Catherine Deneuve, Kheiron, Louison Blivet",Kheiron
8.1,Dram ,"Candice Bergen, Michael Sheen, Pico Alexander, Reese Witherspoon",Hallie Meyers-Shyer
8.6,Dram ,"Katherine Waterston, Lucas Hedges, Na-kel Smith, Sunny Suljic",Jonah Hill
6.0,Dram ,"Aden Gillett, Ahwe Birdman, Mikkel Bobby, Sonia Williams",Shakirah Bourne
9.4,Aile ,"Brian Haley, Joe Mantegna, Joe Pantoliano, Lara Flynn Boyle",Patrick Read Johnson
9.8,Aile ,"Alan Davies, Amit Shah, David Walliams, Oliver Zetterström",Elliot Hegarty
8.5,Dram ,"Andrew Rannells, Anna Kendrick, Blake Lively, Henry Golding",Paul Feig
9.5,Aile ,"Dee Bradley Baker, Eric Bauza, Jonathan Adams, Troy Baker",Matt Peters
7.7,Aksiyon ,"Jimmy Bellinger, Michael Winslow, Michele Weaver, Steve Guttenberg",Nick Simon
8.5,Aksiyon ,"Blanka Györfi-Tóth, Justin Theroux, Mila Kunis, Vilma Szécsi",Susanna Fogel
8.8,Fantastik ,"Alex Désert, Cozi Zuehlsdorff, Heidi Blickenstaff, Jason Maybaum",Steve Carr
8.4,Biyografi ,"Jack Black, Joaquin Phoenix, Jonah Hill, Rooney Mara",Gus Van Sant
7.5,Dram ,"David Lynch, Ed Begley Jr., Harry Dean Stanton, Ron Livingston",John Carroll Lynch
8.1,Komedi ,"Jill Wagner, Kristoffer Polaha, Naomi Sequeira, Rob Kipa-Williams",Gary Yates
9.2,Aile ,"Dwayne Johnson, Kyra Sedgwick, Madison Pettis, Roselyn Sanchez",Andy Fickman
9.3,Aksiyon ,"Elizabeth Banks, Leslie David Baker, Maya Rudolph, Melissa McCarthy",Brian Henson
7.9,Komedi ,"Camille Chamoux, Jean Reno, Pascal Demolon, Reem Kherici",Pascal Bourdiaux
8.3,Dram ,"Mehcad Brooks, Omari Hardwick, Tiffany Haddish, Tika Sumpter",Tyler Perry
8.3,Fantastik ,"Morgan Fairchild, Natalie Knepp, Sean Kleier, Stacy Keach",Nicholas Brooks
9.5,Aile ,"Frank Welker, Grey Griffin, Kate Micucci, Matthew Lillard",Cecilia Aranovich
7.7,Biyografi ,"Ben Falcone, Dolly Wells, Melissa McCarthy, Richard E. Grant",Marielle Heller
7.1,Dram ,"Frances Fisher, Jessica Paré, Kathleen Turner, Kevin Zegers",Pat Kiely
7.6,Aksiyon ,"Aneurin Barnard, Freya Mavor, Marion Bailey, Tom Wilkinson",Tom Edmunds
8.2,Komedi ,"Brad Berryhill, Derek Basco, Kirk Bovill, Steve Agee",Tom Stern
9.4,Aksiyon ,"Josh Brolin, Julian Dennison, Morena Baccarin, Ryan Reynolds",David Leitch
8.1,Fantastik ,"Andrew Garfield, Christopher Plummer, Heath Ledger, Lily Cole",Terry Gilliam
8.4,Komedi ,"Joan Pera, Luis Tosar, Rodrigo De la Serna, Stephanie Cayo",Daniel Monzón
7.6,Dram ,"Jon Oswald, Nicki Micheaux, Ricardo Adam Zarate, Shaye Ogbonna",Ryan Prows
6.3,Dram ,"Adam Sandler, Emily Watson, Jason Andrews, Philip Seymour Hoffman",Paul Thomas Anderson
9.2,Aksiyon ,"Bill Paxton, Denzel Washington, Mark Wahlberg, Paula Patton",Baltasar Kormákur
8.5,Dram ,"Christine Woods, Jen Sung, Mark Duplass, Ray Romano",Alex Lehmann
7.9,Dram ,"Christine Woods, Jen Sung, Mark Duplass, Ray Romano",Alex Lehmann
6.9,Dram ,"Adam Driver, Ismael Fritschi, José Luis Ferrer, Juan López-Tagle",Terry Gilliam
9.4,Dram ,"Antoine Bertrand, Ashley Walters, Clémence Poésy, Omar Sy",Hugo Gélin
9.0,Fantastik ,"Adam Devine, Liam Hemsworth, Priyanka Chopra, Rebel Wilson",Todd Strauss-Schulson
